film,sort_type,review
Blue Ruin,lowest,"Another decently highly rated film on letterboxd that I just didn't enjoy. Maybe one star is a little harsh from me because the cinematography and acting were both really good but it was a poorly executed revenge story that I just couldn't give a shit about.This was the same director as Green Room which I enjoyed, so I was expecting this to be really good but it was the complete opposite. The pacing, writing, story and directing were very mediocre and I wouldn't recommend.26/100 📱"
Blue Ruin,lowest,"Um filme bem arrastado, uma história que poderia ser contada, muito melhor contada, em bem menos tempo. Protagonista sem graça e enredo mal explorado, muita coisa ruim neste filme. Uma história de vingança sem ritmo e ação, quase dormi."
Blue Ruin,lowest,boring and dumb with awhole lotta nothing
Blue Ruin,lowest,did not pay attention and did not understand the plot
Blue Ruin,lowest,"Absolutely terrible.The main character tries to teach humility to some peasantry, but they react without gratitude.So he has to keep teaching them.Eventually, instead of thanking him for educating them, they threaten to kill his sister, the spittle literally erupting from their mouths.So of course he needs to continue the lesson, until they internalise it.Then the director just decides to kill the main character after he's been taking out the trash. Why?Waste of time."
Blue Ruin,lowest,J'ai jamais vu un film aussi ennuyant et nul.
Blue Ruin,lowest,"I've never gotten the appeal of revenge movies. I mean, I get the idea of revenge seeming satisfying, but I never enjoy either part: the set-up (which is usually unpleasant because it's the bad guys doing something terrible to undeserving people), and the revenge (which is usually unpleasant because it's just delighting in the brutality which the set-up served to justify). Don't get me wrong: in probably every case, the bad guys deserve what they get; I just don't really…"
Blue Ruin,lowest,"It's amateur hour at Blue Ruin from 2013. You won't recognize any of the actors, apart from Buzz from Home Alone. The film is only 90 minutes, but so tedious and uneventful it feels like 190 minutes.I could not follow this movie. I did not understand what was happening. I didn't know who the characters were, what they were doing, what they wanted, or what the point of anything was. This film lacked basic audience awareness. It did not…"
Blue Ruin,lowest,تعرف يوم تقعد بالمجلس اخر الليل وجايب لك ليز ماكس وديو وفصفص وتشغل قناة امبيسي اكشن ايه نعم هذا الفلم من ضمن افلامهم
Blue Ruin,lowest,"Ga jelas , film bikin ngantuk, naskah ga ada seru serunya , sejam cuma fokus Ama satu orng yg ga jelas mau ngapain, masuk rumah orang bebas kali, kek masuk Indomaret, akting biasa aja flat ga ada bagus bagusnya , film satu setengah jam berasa kayak film 3 jam lama bangett, di ending nambah ga jelas , ini nembak siapa , eh dia nembak siapa , kocak kali, ada kesempatan buat bunuh , eh malah kabur ninggalin keluarganya , film ga jelas."
Blue Ruin,lowest,Only took one show to make me rate movies again. This was soooo boring. First it felt like watching home alone. My husband movie streak ended too soon
Blue Ruin,highest,held off on watching this for so long and this movie is heartbreaking but goddamn it's good
Blue Ruin,highest,Easily one of the best movies of the 2010s.
Blue Ruin,highest,"The keys are in the car the keys are in the carAlmost eleven years I’ve had this movie in my life and it has yet to lose an ounce of power. Macon Blair gives one of my all-time favorite performances as Dwight, a man whose life has been utterly destroyed by the loss of his parents. The path he takes in seeking his revenge is both sloppy-as-hell and distinctly human. He makes one (relatable) mistake after another because it…"
Blue Ruin,highest,"This aged like fine wine. Saulnier and Blair captured something special here. Such a lean film, absolutely no fat but a lot of guts. Absolutely love how Ratray comes out of nowhere to give the thesis of the film. A devastating but essential rewatch."
Blue Ruin,highest,You killed my father now prepare to die!
Blue Ruin,highest,Just finished writing an analysis of the revenge scene in this film for my college course (still one of the best and most underrated films I've ever seen).
Blue Ruin,highest,gotta be my favourite director fr
Blue Ruin,highest,"This is a perfect, awkward thriller."
Blue Ruin,highest,Goddamn this movie is good. It’s tight and tense. Exactly what a revenge thriller should be.
Blue Ruin,highest,Slick. Director doesn't waste time.
Blue Ruin,highest,"A lot of movies move the plot along, or slow the plot down, by making characters do the dumbest or most irrelevant things possible so it just feels like random parts are moving around for no discernible reason. This guy's movies are so tight and gripping because there is none of that. No goofing around, no needless monologues or dialogue, no meandering just to drag viewers through something the director insists on including. All of the events in his movies are causal and fast, which can make for a very scary movie."
Blue Ruin,highest,"After Rebel Ridge, I just had to go back. Spend some time in the dark with Macon. He's so fuckin' good. Like a schlubby terminator. Moments of odd humor pepper what would otherwise me a mercilessly black pit of human suffering. Absolutely delicious. I love this movie."
Blue Ruin,highest,"Now "" this is real Revenge Story ""Most revenge films sell the illusion of control—violence as a means of power, of setting things right. It have no such catharsis , satisfactory monologue . Blue Ruin dismantles that illusion piece by piece, leaving only the hollow, self-destructive truth behind. There’s no satisfaction here, no justice, just a man walking into a storm he doesn’t understand and can’t survive.Dwight, played with quiet devastation by Macon Blair, is not a hero,…"
Cold in July,lowest,"Cold in July wants to be like 7 different movies at once, and as a result it fails at being even one. It's been a long time since I've seen a movie as completely and utterly confused as this one."
Cold in July,lowest,"Started out good, then twisted into something that made no sense and left me with that WTF feeling.Loved Don Johnson"
Cold in July,lowest,most random movie i've ever seen
Cold in July,lowest,I guess it’s a cishet guy thing.
Cold in July,lowest,im just really done with the exploitation of women's pain so that random dudes can kick ass and look good
Cold in July,lowest,"Purtroppo, io non c’ho capito un cazzo."
Cold in July,lowest,"On paper it contains all the twist and turns you might expect from a good thriller, but in reality it's lacking in terms of suspense or excitement. The movie also lacks a real clear theme making it feel quite hollow when all is said and done."
Cold in July,lowest,"Cold in July AKA How to destroy a great thriller by turning it into a stupid ass story! Seriously, a snuff movie ring?! This stupid urban legend again?!What of the whole first act and the intricate story about the unindentified body in the coffin, the Mafia and the crooked cops???!!! They magically disappear in the second act! Voilà!Then watchout for the rest of the show in which I'm going to pull a cheap Dollarstore plastic rabbit out of my paper hat! What? You've seen that before?! Well hold on because this is where we're going!This is so stupid. Fuck you!"
Cold in July,lowest,"This is truthfully one of the worst movies that I’ve ever seen. The cinematography, score, pacing, direction, script, and acting are all extremely poor. This film feels like it was shot in a week, with no opportunity for reshoots. Many loose ends, character motivations that are never explained, everything sucked.Imagine a feature length episode of season 7 Dexter. Only worse. I cannot believe something like this made it past the cutting floor."
Cold in July,lowest,"story had great potential, had its twists and turns. but could have used better direction and writing."
Cold in July,lowest,"Uma primeira meia-hora interessante, depois ladeira abaixo."
Cold in July,lowest,"COLD IN JULY (Jim Mickle, USA, 2014, 2)Cold in July, for this Texas-set film, would be more believable than anything that happens in it. Yes, plausibility isn’t everything, but when you start out with as much psychological acuity and apparent seriousness as Jim Mickle’s Cold in July, you can’t turn into Death Wish; I call this “Fatal Attraction Disorder”. In the opening scene, Texas family man Richard Dane (Michael C. Hall) shoots a burglar in his home. It turns…"
Cold in July,lowest,“I got cows in that pasture.” - Jim Bob.
Cold in July,lowest,Man shoots an intruder and joins a gay polycule. He and his partners then go on a trip to destroy sex predators.
Cold in July,highest,Underrated gem. One of my favorites.
Cold in July,highest,Went into this for Michael C. Hall and didn’t have much expectation but holy shit. Texas noir 80 coded thrillers >>>> There were so many unexpected turns. The whole cast was amazing. I loveeeddd this.
Cold in July,highest,"Don Johnson is incredible in this movie. Love to watch the man act. Sam Shepard is a convincing and likable everyman.Michael C. Hall delivers a performance that is chilling at times, and even heartbreaking.The movie has some twists and turns that will genuinely keep you interested. Let your guard down, heat up some popcorn, and relax."
Cold in July,highest,John Carptenter’s Blood 8mm Simple.
Cold in July,highest,"Just love Michael C. Hall so much, this is so amazing, everybody plays their role perfect. I absolutely loved the turn this movie took, it’s just executed so perfectly. Perfect reward you get in the end, yet still a little depressing."
Cold in July,highest,"You got the picture, framer!A deep-fried distillation of '80s genre fare - horror, buddy comedy, sleaze, action, neo-noir - that unspools freely as a tautly unpredictable, tone-shifting, shit-kicking facemelter.Cold in Julyis also a film that crucially sidesteps the hollow nostalgic fawning over the neon-synth scuzz of that particular decade (which I'm sure we can agree the 2010s were a little too obsessed with) with a poignant central trajectory concerning the coming-of-age-of-a-forty-year-old Texan who is at odds with…"
Cold in July,highest,"Outstanding on every level. Taught, brilliant script. No spare words. Outstanding performances. Watch this one right now. Best film I've seen in a long time."
Cold in July,highest,Can’t believe there was a time where I thought this was anything less than five stars. Dudes friggin’ rock.
Cold in July,highest,"What if A Walk Amongst Tombstones and Dragged Against Concrete had a baby? It’d be Cold In July.Having the brains and blood splatter the painting during the opening scene was such a cool idea. Dane, Ben, and Jim Bob are some of the best written characters I’ve ever seen on screen. There was so much packed into their characters as soon as they’re on screen for a few minutes it feels like you know everything about them. Jim Bob being the best example (was very bummed I didn’t think he make it). This was a certified banger I look forward to watching again soon."
Cold in July,highest,"Third time watch and it’s masterpiece. Please watch it, you won’t regret it"
