film,sort_type,review,sentiment
Blue Ruin,lowest,"Another decently highly rated film on letterboxd that I just didn't enjoy. Maybe one star is a little harsh from me because the cinematography and acting were both really good but it was a poorly executed revenge story that I just couldn't give a shit about.This was the same director as Green Room which I enjoyed, so I was expecting this to be really good but it was the complete opposite. The pacing, writing, story and directing were very mediocre and I wouldn't recommend.26/100 📱",positive
Blue Ruin,lowest,boring and dumb with awhole lotta nothing,negative
Blue Ruin,lowest,did not pay attention and did not understand the plot,neutral
Blue Ruin,lowest,"Absolutely terrible.The main character tries to teach humility to some peasantry, but they react without gratitude.So he has to keep teaching them.Eventually, instead of thanking him for educating them, they threaten to kill his sister, the spittle literally erupting from their mouths.So of course he needs to continue the lesson, until they internalise it.Then the director just decides to kill the main character after he's been taking out the trash. Why?Waste of time.",positive
Blue Ruin,lowest,"I've never gotten the appeal of revenge movies. I mean, I get the idea of revenge seeming satisfying, but I never enjoy either part: the set-up (which is usually unpleasant because it's the bad guys doing something terrible to undeserving people), and the revenge (which is usually unpleasant because it's just delighting in the brutality which the set-up served to justify). Don't get me wrong: in probably every case, the bad guys deserve what they get; I just don't really…",negative
Blue Ruin,lowest,"It's amateur hour at Blue Ruin from 2013. You won't recognize any of the actors, apart from Buzz from Home Alone. The film is only 90 minutes, but so tedious and uneventful it feels like 190 minutes.I could not follow this movie. I did not understand what was happening. I didn't know who the characters were, what they were doing, what they wanted, or what the point of anything was. This film lacked basic audience awareness. It did not…",negative
Blue Ruin,lowest,Only took one show to make me rate movies again. This was soooo boring. First it felt like watching home alone. My husband movie streak ended too soon,negative
Blue Ruin,highest,held off on watching this for so long and this movie is heartbreaking but goddamn it's good,positive
Blue Ruin,highest,Easily one of the best movies of the 2010s.,positive
Blue Ruin,highest,"The keys are in the car the keys are in the carAlmost eleven years I've had this movie in my life and it has yet to lose an ounce of power. Macon Blair gives one of my all-time favorite performances as Dwight, a man whose life has been utterly destroyed by the loss of his parents. The path he takes in seeking his revenge is both sloppy-as-hell and distinctly human. He makes one (relatable) mistake after another because it…",positive
Blue Ruin,highest,"This aged like fine wine. Saulnier and Blair captured something special here. Such a lean film, absolutely no fat but a lot of guts. Absolutely love how Ratray comes out of nowhere to give the thesis of the film. A devastating but essential rewatch.",positive
Blue Ruin,highest,You killed my father now prepare to die!,negative
Blue Ruin,highest,Just finished writing an analysis of the revenge scene in this film for my college course (still one of the best and most underrated films I've ever seen).,positive
Blue Ruin,highest,gotta be my favourite director fr,neutral
Blue Ruin,highest,"This is a perfect, awkward thriller.",positive
Blue Ruin,highest,Goddamn this movie is good. It's tight and tense. Exactly what a revenge thriller should be.,positive
Blue Ruin,highest,Slick. Director doesn't waste time.,negative
Blue Ruin,highest,"A lot of movies move the plot along, or slow the plot down, by making characters do the dumbest or most irrelevant things possible so it just feels like random parts are moving around for no discernible reason. This guy's movies are so tight and gripping because there is none of that. No goofing around, no needless monologues or dialogue, no meandering just to drag viewers through something the director insists on including. All of the events in his movies are causal and fast, which can make for a very scary movie.",negative
film,sort_type,review,neutral
Blue Ruin,lowest,"Another decently highly rated film on letterboxd that I just didn't enjoy. Maybe one star is a little harsh from me because the cinematography and acting were both really good but it was a poorly executed revenge story that I just couldn't give a shit about.This was the same director as Green Room which I enjoyed, so I was expecting this to be really good but it was the complete opposite. The pacing, writing, story and directing were very mediocre and I wouldn't recommend.26/100 📱",positive
Blue Ruin,lowest,boring and dumb with awhole lotta nothing,negative
Blue Ruin,lowest,did not pay attention and did not understand the plot,neutral
Blue Ruin,lowest,"Absolutely terrible.The main character tries to teach humility to some peasantry, but they react without gratitude.So he has to keep teaching them.Eventually, instead of thanking him for educating them, they threaten to kill his sister, the spittle literally erupting from their mouths.So of course he needs to continue the lesson, until they internalise it.Then the director just decides to kill the main character after he's been taking out the trash. Why?Waste of time.",positive
Blue Ruin,lowest,"I've never gotten the appeal of revenge movies. I mean, I get the idea of revenge seeming satisfying, but I never enjoy either part: the set-up (which is usually unpleasant because it's the bad guys doing something terrible to undeserving people), and the revenge (which is usually unpleasant because it's just delighting in the brutality which the set-up served to justify). Don't get me wrong: in probably every case, the bad guys deserve what they get; I just don't really…",negative
Blue Ruin,lowest,"It's amateur hour at Blue Ruin from 2013. You won't recognize any of the actors, apart from Buzz from Home Alone. The film is only 90 minutes, but so tedious and uneventful it feels like 190 minutes.I could not follow this movie. I did not understand what was happening. I didn't know who the characters were, what they were doing, what they wanted, or what the point of anything was. This film lacked basic audience awareness. It did not…",negative
Blue Ruin,lowest,Only took one show to make me rate movies again. This was soooo boring. First it felt like watching home alone. My husband movie streak ended too soon,negative
Blue Ruin,highest,held off on watching this for so long and this movie is heartbreaking but goddamn it's good,positive
Blue Ruin,highest,Easily one of the best movies of the 2010s.,positive
Blue Ruin,highest,"The keys are in the car the keys are in the carAlmost eleven years I’ve had this movie in my life and it has yet to lose an ounce of power. Macon Blair gives one of my all-time favorite performances as Dwight, a man whose life has been utterly destroyed by the loss of his parents. The path he takes in seeking his revenge is both sloppy-as-hell and distinctly human. He makes one (relatable) mistake after another because it…",positive
Blue Ruin,highest,"This aged like fine wine. Saulnier and Blair captured something special here. Such a lean film, absolutely no fat but a lot of guts. Absolutely love how Ratray comes out of nowhere to give the thesis of the film. A devastating but essential rewatch.",positive
Blue Ruin,highest,You killed my father now prepare to die!,negative
Blue Ruin,highest,Just finished writing an analysis of the revenge scene in this film for my college course (still one of the best and most underrated films I've ever seen).,positive
Blue Ruin,highest,gotta be my favourite director fr,neutral
Blue Ruin,highest,"This is a perfect, awkward thriller.",positive
Blue Ruin,highest,Goddamn this movie is good. It’s tight and tense. Exactly what a revenge thriller should be.,positive
Blue Ruin,highest,Slick. Director doesn't waste time.,negative
